"","Species","Class","Order","Suborder","Family","Genus","Accession","Level"
"649","Clito sp. Burns02","Insecta","Lepidoptera","Glossata","Hesperiidae","Clito","GCA_018250795.1","Contig"
"650","Cloeon dipterum","Insecta","Ephemeroptera","Pisciforma","Baetidae","Cloeon","GCA_949628265.1","Chromosome"
"651","Clogmia albipunctata","Insecta","Diptera","Nematocera","Psychodidae","Clogmia","GCA_022818195.1","Scaffold"
"652","Clostera curtula","Insecta","Lepidoptera","Glossata","Notodontidae","Clostera","GCA_905475355.2","Chromosome"
"653","Clunio marinus","Insecta","Diptera","Nematocera","Chironomidae","Clunio","GCA_900005825.1","Scaffold"
"654","Clusia tigrina","Insecta","Diptera","Brachycera","Clusiidae","Clusia","GCA_920105625.2","Chromosome"
"655","Cnaphalocrocis medinalis","Insecta","Lepidoptera","Glossata","Crambidae","Cnaphalocrocis","GCA_014851415.1","Chromosome"
"656","Coboldia fuscipes","Insecta","Diptera","Nematocera","Scatopsidae","Coboldia","GCA_001014335.1","Scaffold"
"657","Coccinella septempunctata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Coccinella","GCF_907165205.1","Chromosome"
"658","Cochliomyia hominivorax","Insecta","Diptera","Brachycera","Calliphoridae","Cochliomyia","GCA_004302925.1","Contig"
"659","Codatractus alcaeus","Insecta","Lepidoptera","Glossata","Hesperiidae","Codatractus","GCA_018251115.1","Contig"
"660","Codatractus cyledis","Insecta","Lepidoptera","Glossata","Hesperiidae","Codatractus","GCA_018249055.1","Contig"
"661","Codatractus imalena","Insecta","Lepidoptera","Glossata","Hesperiidae","Codatractus","GCA_018248975.1","Contig"
"662","Coeliades ramanatek","Insecta","Lepidoptera","Glossata","Hesperiidae","Coeliades","GCA_018247095.1","Contig"
"663","Coelinius sp. EB29","Insecta","Hymenoptera","Apocrita","Braconidae","Coelinius","GCA_035578325.1","Scaffold"
"664","Coelioxys conoideus","Insecta","Hymenoptera","Apocrita","Megachilidae","Coelioxys","GCA_947623535.1","Chromosome"
"665","Coelopa frigida","Insecta","Diptera","Brachycera","Coelopidae","Coelopa","GCA_017309665.1","Chromosome"
"666","Coelopa pilipes","Insecta","Diptera","Brachycera","Coelopidae","Coelopa","GCA_947389925.1","Chromosome"
"667","Coenonympha glycerion","Insecta","Lepidoptera","Glossata","Nymphalidae","Coenonympha","GCA_963855885.1","Chromosome"
"668","Coleophora deauratella","Insecta","Lepidoptera","Glossata","Coleophoridae","Coleophora","GCA_958295455.1","Chromosome"
"669","Coleophora flavipennella","Insecta","Lepidoptera","Glossata","Coleophoridae","Coleophora","GCA_947284805.1","Chromosome"
"670","Colias behrii","Insecta","Lepidoptera","Glossata","Pieridae","Colias","GCA_029959065.1","Scaffold"
"671","Colias croceus","Insecta","Lepidoptera","Glossata","Pieridae","Colias","GCF_905220415.1","Chromosome"
"672","Colias eurytheme","Insecta","Lepidoptera","Glossata","Pieridae","Colias","GCA_907164685.1","Scaffold"
"673","Colias nastes","Insecta","Lepidoptera","Glossata","Pieridae","Colias","GCA_907164665.1","Scaffold"
"674","Collessia kirishimana","Insecta","Diptera","Brachycera","Drosophilidae","Collessia","GCA_035078785.1","Scaffold"
"675","Colletes collaris","Insecta","Hymenoptera","Apocrita","Colletidae","Colletes","GCA_030068185.1","Contig"
"676","Colletes gigas","Insecta","Hymenoptera","Apocrita","Colletidae","Colletes","GCF_013123115.1","Scaffold"
"677","Colostygia pectinataria","Insecta","Lepidoptera","Glossata","Geometridae","Colostygia","GCA_951394395.1","Chromosome"
"678","Columbicola columbae","Insecta","Phthiraptera","Ischnocera","Philopteridae","Columbicola","GCA_016920875.1","Scaffold"
"679","Columbicola hoogstraali","Insecta","Phthiraptera","Ischnocera","Philopteridae","Columbicola","GCA_913698275.1","Contig"
"680","Comparmustilia semiravida","Insecta","Lepidoptera","Glossata","Endromidae","Comparmustilia","GCA_028566795.1","Scaffold"
"681","Condylostylus longicornis","Insecta","Diptera","Brachycera","Dolichopodidae","Condylostylus","GCA_029603195.1","Contig"
"682","Condylostylus patibulatus","Insecta","Diptera","Brachycera","Dolichopodidae","Condylostylus","GCA_001014875.1","Scaffold"
"683","Conistra vaccinii","Insecta","Lepidoptera","Glossata","Noctuidae","Conistra","GCA_948150665.1","Chromosome"
"684","Conogethes punctiferalis","Insecta","Lepidoptera","Glossata","Crambidae","Conogethes","GCA_031163375.1","Chromosome"
"685","Conomelus anceps","Insecta","Hemiptera","Auchenorrhyncha","Delphacidae","Conomelus","GCA_948455865.1","Chromosome"
"686","Conopomorpha cramerella","Insecta","Lepidoptera","Glossata","Gracillariidae","Conopomorpha","GCA_012932125.1","Scaffold"
"687","Conops quadrifasciatus","Insecta","Diptera","Brachycera","Conopidae","Conops","GCA_949752815.1","Chromosome"
"688","Contarinia nasturtii","Insecta","Diptera","Nematocera","Cecidomyiidae","Contarinia","GCF_009176525.2","Scaffold"
"689","Copaeodes aurantiaca","Insecta","Lepidoptera","Glossata","Hesperiidae","Copaeodes","GCA_018251435.1","Contig"
"690","Copidosoma aretas","Insecta","Hymenoptera","Apocrita","Encyrtidae","Copidosoma","GCA_030522625.1","Scaffold"
"691","Copidosoma floridanum","Insecta","Hymenoptera","Apocrita","Encyrtidae","Copidosoma","GCF_000648655.2","Scaffold"
"692","Copris fidius","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Copris","GCA_032191685.1","Contig"
"693","Coproporus ventriculus","Insecta","Coleoptera","Polyphaga","Staphylinidae","Coproporus","GCA_027574865.1","Scaffold"
"694","Coptodactyla brooksi","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Coptodactyla","GCA_033557675.1","Contig"
"695","Coptotermes formosanus","Insecta","Blattodea",NA,"Rhinotermitidae","Coptotermes","GCA_013340265.1","Scaffold"
"696","Cordilura impudica","Insecta","Diptera","Brachycera","Scathophagidae","Cordilura","GCA_963682025.1","Chromosome"
"697","Coremacera marginata","Insecta","Diptera","Brachycera","Sciomyzidae","Coremacera","GCA_914767935.1","Chromosome"
"698","Cornuphallus albafascia","Insecta","Lepidoptera","Glossata","Hesperiidae","Cornuphallus","GCA_018247015.1","Contig"
"699","Coronaproctus castanopsis","Insecta","Hemiptera","Sternorrhyncha","Monophlebidae","Coronaproctus","GCA_032883995.1","Chromosome"
"700","Cosmia pyralina","Insecta","Lepidoptera","Glossata","Noctuidae","Cosmia","GCA_946251885.1","Chromosome"
"701","Cosmia trapezina","Insecta","Lepidoptera","Glossata","Noctuidae","Cosmia","GCA_905163495.1","Chromosome"
"702","Cosmopolites sordidus","Insecta","Coleoptera","Polyphaga","Curculionidae","Cosmopolites","GCA_031761425.1","Contig"
"703","Cosmorhoe ocellata","Insecta","Lepidoptera","Glossata","Geometridae","Cosmorhoe","GCA_963675405.1","Chromosome"
"704","Cotesia chilonis","Insecta","Hymenoptera","Apocrita","Braconidae","Cotesia","GCA_018835575.1","Scaffold"
"705","Cotesia congregata","Insecta","Hymenoptera","Apocrita","Braconidae","Cotesia","GCA_905319865.2","Scaffold"
"706","Cotesia glomerata","Insecta","Hymenoptera","Apocrita","Braconidae","Cotesia","GCF_020080835.1","Chromosome"
"707","Cotesia typhae","Insecta","Hymenoptera","Apocrita","Braconidae","Cotesia","GCA_013202065.2","Contig"
"708","Cotesia vestalis","Insecta","Hymenoptera","Apocrita","Braconidae","Cotesia","GCA_000956155.1","Contig"
"709","Crambus lathoniellus","Insecta","Lepidoptera","Glossata","Crambidae","Crambus","GCA_949710035.1","Chromosome"
"710","Craniophora ligustri","Insecta","Lepidoptera","Glossata","Noctuidae","Craniophora","GCA_905163465.1","Chromosome"
"711","Crataerina pallida","Insecta","Diptera","Brachycera","Hippoboscidae","Crataerina","GCA_949710015.1","Chromosome"
"712","Cremastinae sp. A BG-2022a","Insecta","Hymenoptera","Apocrita","Ichneumonidae",NA,"GCA_030522545.1","Scaffold"
"713","Cremastinae sp. B BG-2022a","Insecta","Hymenoptera","Apocrita","Ichneumonidae",NA,"GCA_030522605.1","Scaffold"
"714","Cremastobaeus sp. ZL-2020","Insecta","Hymenoptera","Apocrita","Scelionidae","Cremastobaeus","GCA_022817545.1","Scaffold"
"715","Crematogaster levior","Insecta","Hymenoptera","Apocrita","Formicidae","Crematogaster","GCA_901521435.1","Scaffold"
"716","Creonpyge creon","Insecta","Lepidoptera","Glossata","Hesperiidae","Creonpyge","GCA_018246875.1","Contig"
"717","Creontiades dilutus","Insecta","Hemiptera","Heteroptera","Miridae","Creontiades","GCA_031894815.1","Contig"
"718","Crepidodera aurea","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Crepidodera","GCA_949320105.1","Chromosome"
"719","Cressida cressida","Insecta","Lepidoptera","Glossata","Papilionidae","Cressida","GCA_018248155.1","Contig"
"720","Crioceris asparagi","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Crioceris","GCA_958507055.1","Chromosome"
"721","Criorhina berberina","Insecta","Diptera","Brachycera","Syrphidae","Criorhina","GCA_917880715.1","Chromosome"
"722","Criorhina ranunculi","Insecta","Diptera","Brachycera","Syrphidae","Criorhina","GCA_951813785.1","Chromosome"
"723","Crocallis elinguaria","Insecta","Lepidoptera","Glossata","Geometridae","Crocallis","GCA_907269065.1","Chromosome"
"724","Croniades pieria","Insecta","Lepidoptera","Glossata","Hesperiidae","Croniades","GCA_018249575.1","Contig"
"725","Crossocerus cetratus","Insecta","Hymenoptera","Apocrita","Crabronidae","Crossocerus","GCA_963675795.1","Chromosome"
"726","Cryptocephalus moraei","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Cryptocephalus","GCA_946251905.1","Chromosome"
"727","Cryptocephalus primarius","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Cryptocephalus","GCA_963576515.1","Chromosome"
"728","Cryptocheilus praepositus","Insecta","Hymenoptera","Apocrita","Pompilidae","Cryptocheilus","GCA_033815515.1","Contig"
"729","Cryptolaemus montrouzieri","Insecta","Coleoptera","Polyphaga","Coccinellidae","Cryptolaemus","GCA_013387265.1","Contig"
"730","Cryptophagus acutangulus","Insecta","Coleoptera","Polyphaga","Cryptophagidae","Cryptophagus","GCA_963556235.1","Chromosome"
"731","Cryptotermes secundus","Insecta","Blattodea",NA,"Kalotermitidae","Cryptotermes","GCF_002891405.1","Scaffold"
"732","Ctenicera cuprea","Insecta","Coleoptera","Polyphaga","Elateridae","Ctenicera","GCA_958336395.1","Chromosome"
"733","Ctenocephalides felis","Insecta","Siphonaptera","Pulicomorpha","Pulicidae","Ctenocephalides","GCF_003426905.1","Scaffold"
"734","Ctenoplectra terminalis","Insecta","Hymenoptera","Apocrita","Apidae","Ctenoplectra","GCA_019453375.1","Scaffold"
"735","Ctenoptilum multiguttatum","Insecta","Lepidoptera","Glossata","Hesperiidae","Ctenoptilum","GCA_018245415.1","Contig"
"736","Culex pipiens","Insecta","Diptera","Nematocera","Culicidae","Culex","GCA_024516115.1","Chromosome"
"737","Culex quinquefasciatus","Insecta","Diptera","Nematocera","Culicidae","Culex","GCF_015732765.1","Chromosome"
"738","Culicoides sonorensis","Insecta","Diptera","Nematocera","Ceratopogonidae","Culicoides","GCA_900002565.1","Contig"
"739","Culicoides tainanus","Insecta","Diptera","Nematocera","Ceratopogonidae","Culicoides","GCA_020740445.1","Contig"
"740","Cupitha purreea","Insecta","Lepidoptera","Glossata","Hesperiidae","Cupitha","GCA_018249235.1","Contig"
"741","Curetis bulis","Insecta","Lepidoptera","Glossata","Lycaenidae","Curetis","GCA_018237905.1","Contig"
"742","Curvie emesia","Insecta","Lepidoptera","Glossata","Riodinidae","Curvie","GCA_018236865.1","Contig"
"743","Cyaniris semiargus","Insecta","Lepidoptera","Glossata","Lycaenidae","Cyaniris","GCA_905187585.1","Chromosome"
"744","Cybosia mesomella","Insecta","Lepidoptera","Glossata","Erebidae","Cybosia","GCA_946251805.1","Chromosome"
"745","Cyclargus thomasi","Insecta","Lepidoptera","Glossata","Lycaenidae","Cyclargus","GCA_018252175.1","Contig"
"746","Cycloglypha thrasibulus","Insecta","Lepidoptera","Glossata","Hesperiidae","Cycloglypha","GCA_018251175.1","Contig"
"747","Cyclophora albipunctata","Insecta","Lepidoptera","Glossata","Geometridae","Cyclophora","GCA_963082685.1","Chromosome"
"748","Cyclophora punctaria","Insecta","Lepidoptera","Glossata","Geometridae","Cyclophora","GCA_951394245.1","Chromosome"
"749","Cydalima perspectalis","Insecta","Lepidoptera","Glossata","Crambidae","Cydalima","GCA_951394215.1","Chromosome"
"750","Cydia amplana","Insecta","Lepidoptera","Glossata","Tortricidae","Cydia","GCA_948474715.1","Chromosome"
"751","Cydia fagiglandana","Insecta","Lepidoptera","Glossata","Tortricidae","Cydia","GCA_963556715.1","Chromosome"
"752","Cydia pomonella","Insecta","Lepidoptera","Glossata","Tortricidae","Cydia","GCF_033807575.1","Chromosome"
"753","Cydia splendana","Insecta","Lepidoptera","Glossata","Tortricidae","Cydia","GCA_910591565.2","Chromosome"
"754","Cydia strobilella","Insecta","Lepidoptera","Glossata","Tortricidae","Cydia","GCA_947568885.1","Chromosome"
"755","Cylas formicarius","Insecta","Coleoptera","Polyphaga","Brentidae","Cylas","GCA_029955295.1","Scaffold"
"756","Cynaeus angustus","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Cynaeus","GCA_030157275.1","Chromosome"
"757","Cynegetis impunctata","Insecta","Coleoptera","Polyphaga","Coccinellidae","Cynegetis","GCA_030704885.1","Contig"
"758","Cypha longicornis","Insecta","Coleoptera","Polyphaga","Staphylinidae","Cypha","GCA_030264615.1","Scaffold"
"759","Cyphomyrmex costatus","Insecta","Hymenoptera","Apocrita","Formicidae","Cyphomyrmex","GCF_001594065.1","Scaffold"
"760","Cyrtorhinus lividipennis","Insecta","Hemiptera","Heteroptera","Miridae","Cyrtorhinus","GCA_019603395.1","Chromosome"
"761","Dactylopius coccus","Insecta","Hemiptera","Sternorrhyncha","Dactylopiidae","Dactylopius","GCA_000833685.1","Contig"
"762","Daktulosphaira vitifoliae","Insecta","Hemiptera","Sternorrhyncha","Phylloxeridae","Daktulosphaira","GCF_025091365.1","Scaffold"
"763","Dalla costala","Insecta","Lepidoptera","Glossata","Hesperiidae","Dalla","GCA_018245355.1","Contig"
"764","Dalla cyprius","Insecta","Lepidoptera","Glossata","Hesperiidae","Dalla","GCA_018247615.1","Contig"
"765","Dalla eburones","Insecta","Lepidoptera","Glossata","Hesperiidae","Dalla","GCA_018245395.1","Contig"
"766","Dalla quadristriga","Insecta","Lepidoptera","Glossata","Hesperiidae","Dalla","GCA_018245335.1","Contig"
"767","Dalotia coriaria","Insecta","Coleoptera","Polyphaga","Staphylinidae","Dalotia","GCA_025399875.1","Scaffold"
"768","Danaus chrysippus","Insecta","Lepidoptera","Glossata","Nymphalidae","Danaus","GCA_902713385.1","Contig"
"769","Danaus eresimus","Insecta","Lepidoptera","Glossata","Nymphalidae","Danaus","GCA_018231745.1","Contig"
"770","Danaus erippus","Insecta","Lepidoptera","Glossata","Nymphalidae","Danaus","GCA_018231765.1","Contig"
"771","Danaus gilippus","Insecta","Lepidoptera","Glossata","Nymphalidae","Danaus","GCA_018231785.1","Contig"
"772","Danaus melanippus","Insecta","Lepidoptera","Glossata","Nymphalidae","Danaus","GCA_018249715.1","Contig"
"773","Danaus plexippus","Insecta","Lepidoptera","Glossata","Nymphalidae","Danaus","GCF_009731565.1","Chromosome"
"774","Dardarina dardaris","Insecta","Lepidoptera","Glossata","Hesperiidae","Dardarina","GCA_018248255.1","Contig"
"775","Dascillus cervinus","Insecta","Coleoptera","Polyphaga","Dascillidae","Dascillus","GCA_949768715.1","Chromosome"
"776","Dastarcus helophoroides","Insecta","Coleoptera","Polyphaga","Bothrideridae","Dastarcus","GCA_028583605.1","Chromosome"
"777","Dasypogon diadema","Insecta","Diptera","Brachycera","Asilidae","Dasypogon","GCA_006980735.1","Scaffold"
"778","Dasypolia templi","Insecta","Lepidoptera","Glossata","Noctuidae","Dasypolia","GCA_963555695.1","Chromosome"
"779","Dasysyrphus albostriatus","Insecta","Diptera","Brachycera","Syrphidae","Dasysyrphus","GCA_946251815.1","Chromosome"
"780","Dasysyrphus tricinctus","Insecta","Diptera","Brachycera","Syrphidae","Dasysyrphus","GCA_963921185.1","Chromosome"
"781","Degeeriella rufa","Insecta","Phthiraptera","Ischnocera","Philopteridae","Degeeriella","GCA_913698455.1","Contig"
"782","Deilephila elpenor","Insecta","Lepidoptera","Glossata","Sphingidae","Deilephila","GCA_949752805.1","Chromosome"
"783","Deilephila porcellus","Insecta","Lepidoptera","Glossata","Sphingidae","Deilephila","GCA_905220455.1","Chromosome"
"784","Deinopsis erosa","Insecta","Coleoptera","Polyphaga","Staphylinidae","Deinopsis","GCA_027574845.2","Scaffold"
"785","Delia radicum","Insecta","Diptera","Brachycera","Anthomyiidae","Delia","GCA_021234595.1","Chromosome"
"786","Delias oraia","Insecta","Lepidoptera","Glossata","Pieridae","Delias","GCA_018230265.1","Contig"
"787","Delias pasithoe","Insecta","Lepidoptera","Glossata","Pieridae","Delias","GCA_018230545.1","Contig"
"788","Dendroctonus ponderosae","Insecta","Coleoptera","Polyphaga","Curculionidae","Dendroctonus","GCA_020466585.1","Scaffold"
"789","Dendroctonus valens","Insecta","Coleoptera","Polyphaga","Curculionidae","Dendroctonus","GCA_024550625.1","Scaffold"
"790","Dendrolimus kikuchii","Insecta","Lepidoptera","Glossata","Lasiocampidae","Dendrolimus","GCA_019925095.1","Chromosome"
"791","Dendrolimus pini","Insecta","Lepidoptera","Glossata","Lasiocampidae","Dendrolimus","GCA_949752895.1","Chromosome"
"792","Dendrolimus punctatus","Insecta","Lepidoptera","Glossata","Lasiocampidae","Dendrolimus","GCA_012273795.1","Chromosome"
"793","Dermolepida albohirtum","Insecta","Coleoptera","Polyphaga","Scarabaeidae","Dermolepida","GCA_031893035.1","Contig"
"794","Deroplatys truncata","Insecta","Mantodea","Eumantodea","Mantidae","Deroplatys","GCA_030765065.1","Chromosome"
"795","Diabrotica balteata","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Diabrotica","GCA_918026665.1","Chromosome"
"796","Diabrotica virgifera","Insecta","Coleoptera","Polyphaga","Chrysomelidae","Diabrotica","GCA_917563875.1","Chromosome"
"797","Diachasma alloeum","Insecta","Hymenoptera","Apocrita","Braconidae","Diachasma","GCA_913698315.1","Contig"
"798","Diachasmimorpha longicaudata","Insecta","Hymenoptera","Apocrita","Braconidae","Diachasmimorpha","GCA_034640455.1","Chromosome"
"799","Diachrysia chrysitis","Insecta","Lepidoptera","Glossata","Noctuidae","Diachrysia","GCA_932294365.1","Chromosome"
"800","Diadegma semiclausum","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Diadegma","GCA_011421695.1","Contig"
"801","Diadocidia ferruginosa","Insecta","Diptera","Nematocera","Diadocidiidae","Diadocidia","GCA_027564275.1","Scaffold"
"802","Diadromus collaris","Insecta","Hymenoptera","Apocrita","Ichneumonidae","Diadromus","GCA_009394715.1","Contig"
"803","Dianesia carteri","Insecta","Lepidoptera","Glossata","Riodinidae","Dianesia","GCA_018237465.1","Contig"
"804","Diaperis boleti","Insecta","Coleoptera","Polyphaga","Tenebrionidae","Diaperis","GCA_963583935.1","Chromosome"
"805","Diaphora mendica","Insecta","Lepidoptera","Glossata","Erebidae","Diaphora","GCA_949125395.1","Chromosome"
"806","Diaphorina citri","Insecta","Hemiptera","Sternorrhyncha","Psyllidae","Diaphorina","GCA_030643865.1","Chromosome"
"807","Diaprepes abbreviatus","Insecta","Coleoptera","Polyphaga","Curculionidae","Diaprepes","GCA_034092305.1","Contig"
